TIME_PERIOD,gdp_quarterly,gdp,inflation_rate_anually,education_attainment,gdp_per_capita,gdp_growth_rate,price_index,energy_prices,inflation_rate_monthly_m,inflation_rate_monthly_y,gas_emissions,household_income_q1,household_income_q2,household_income_q3,net_migration,total_population,net_population_growth,growth_rate,births,deaths,total_unemployment_rate,adult_unemployment_rate,youth_unemployment_rate
2021-01-01,114436.2,463274.9,2.7,43.7375,44480.0,5.2,108.73,0.17000889203716824,0.7,1.8,33.2899,18132.0,25498.0,33957.0,50726.0,10415811.0,73031.0,7.0,114263.0,91958.0,9.0,7.1,24.5
2021-02-01,,,,,,,109.11,,0.1,1.5,,,,,,,,,,,9.1,7.4,23.5
2021-03-01,,,,,,,109.22,,0.2,1.6,,,,,,,,,,,9.6,7.7,24.8
2021-04-01,115355.3,,,,,,109.54,,0.5,1.8,,,,,,,,,,,9.1,6.6,27.4
2021-05-01,,,,,,,109.79,,0.0,1.7,,,,,,,,,,,9.1,7.0,25.8
2021-06-01,,,,,,,109.87,,-0.2,1.7,,,,,,,,,,,9.4,7.6,24.2
2021-07-01,114879.2,,,,,,110.18,0.20234511993555288,-0.9,1.9,,,,,,,,,,,8.7,6.6,24.2
2021-08-01,,,,,,,110.72,,0.1,1.8,,,,,,,,,,,8.9,6.9,25.5
2021-09-01,,,,,,,111.29,,0.5,1.8,,,,,,,,,,,8.9,6.8,25.2
2021-10-01,117253.5,,,,,,111.53,,0.2,1.8,,,,,,,,,,,8.4,6.5,24.0
2021-11-01,,,,,,,112.15,,0.0,1.5,,,,,,,,,,,8.4,6.3,24.9
2021-12-01,,,,,,,113.71,,0.0,1.3,,,,,,,,,,,8.0,6.2,22.2
2022-01-01,116891.9,469091.0,8.1,45.762499999999996,44560.0,1.3,112.98,0.17655018264649913,1.4,2.0,30.84396,18933.0,26738.0,36076.0,59233.0,10486941.0,69230.0,6.6,104734.0,94737.0,8.0,6.2,21.9
2022-02-01,,,,,,,113.95,,0.5,2.3,,,,,,,,,,,7.3,5.5,21.2
2022-03-01,,,,,,,116.12,,0.2,2.4,,,,,,,,,,,7.7,5.8,22.2
2022-04-01,117765.2,,,,,,116.78,,0.3,2.2,,,,,,,,,,,7.8,5.9,22.5
2022-05-01,,,,,,,118.04,,0.3,2.5,,,,,,,,,,,7.8,5.9,21.9
2022-06-01,,,,,,,119.61,,-0.2,2.4,,,,,,,,,,,7.4,5.8,19.6
2022-07-01,117107.6,,,,,,119.36,0.21968613831131853,-1.1,2.3,,,,,,,,,,,7.3,5.6,19.8
2022-08-01,,,,,,,121.22,,0.2,2.4,,,,,,,,,,,6.9,5.0,21.1
2022-09-01,,,,,,,122.7,,0.6,2.5,,,,,,,,,,,7.0,5.1,21.5
2022-10-01,116212.3,,,,,,122.45,,0.1,2.4,,,,,,,,,,,7.8,5.6,23.4
2022-11-01,,,,,,,123.47,,0.3,2.7,,,,,,,,,,,7.3,5.4,20.7
2022-12-01,,,,,,,126.04,,0.3,2.9,,,,,,,,,,,7.5,5.4,23.0
2023-01-01,117711.8,468133.8,5.9,46.775,44170.0,-0.2,123.81,0.21556342069808462,2.0,3.6,30.43507,19355.0,27250.0,36432.0,24485.0,10536632.0,30151.0,2.9,100051.0,94385.0,7.1,5.4,19.3
2023-02-01,,,,,,,125.0,,0.7,3.8,,,,,,,,,,,7.7,5.5,23.6
2023-03-01,,,,,,,125.57,,0.5,4.1,,,,,,,,,,,7.3,5.3,21.5
2023-04-01,116701.6,,,,,,125.82,,0.6,4.5,,,,,,,,,,,7.2,5.6,19.3
2023-05-01,,,,,,,125.91,,0.2,4.4,,,,,,,,,,,7.2,5.4,20.3
2023-06-01,,,,,,,127.17,,0.2,4.8,,,,,,,,,,,8.1,5.7,25.0
2023-07-01,117131.2,,,,,,126.93,0.18413894328930372,-1.0,4.9,,,,,,,,,,,7.1,5.7,17.7
2023-08-01,,,,,,,126.72,,0.3,5.0,,,,,,,,,,,8.1,6.2,22.7
2023-09-01,,,,,,,127.19,,0.3,4.7,,,,,,,,,,,8.1,6.1,22.9
2023-10-01,116550.7,,,,,,127.29,,0.4,5.0,,,,,,,,,,,8.0,6.1,22.1
2023-11-01,,,,,,,127.52,,0.2,4.9,,,,,,,,,,,8.0,6.1,22.4
2023-12-01,,,,,,,128.38,,0.3,5.0,,,,,,,,,,,8.2,6.1,24.4
2024-01-01,117650.9,471972.8,2.0,47.5625,44400.0,0.8,128.05,0.201573460005278,3.0,6.0,,19366.0,26915.0,36598.0,28820.0,10569709.0,36003.0,3.4,98451.0,91268.0,7.9,5.8,23.5
2024-02-01,,,,,,,128.31,,0.9,6.2,,,,,,,,,,,8.0,6.1,22.1
2024-03-01,,,,,,,128.48,,0.5,6.2,,,,,,,,,,,8.8,6.3,26.6
2024-04-01,117243.0,,,,,,128.82,,0.5,6.0,,,,,,,,,,,8.6,6.3,24.7
2024-05-01,,,,,,,129.02,,0.1,5.9,,,,,,,,,,,8.1,6.1,22.9
2024-06-01,,,,,,,128.92,,0.0,5.7,,,,,,,,,,,8.3,6.2,23.8
2024-07-01,118212.1,,,,,,129.11,0.18982052168840366,-0.9,5.8,,,,,,,,,,,8.6,6.3,25.7
2024-08-01,,,,,,,128.35,,0.3,5.8,,,,,,,,,,,8.3,6.5,22.1
2024-09-01,,,,,,,128.76,,0.4,5.9,,,,,,,,,,,8.6,6.3,25.9
2024-10-01,118729.0,,,,,,129.36,,0.3,5.8,,,,,,,,,,,8.4,6.4,23.6
2024-11-01,,,,,,,130.11,,0.2,5.8,,,,,,,,,,,8.4,6.3,23.9
2024-12-01,,,,,,,130.46,,0.4,5.9,,,,,,,,,,,8.5,6.5,23.4
2025-01-01,118509.7,,,,,,130.62,0.20940140700306956,2.8,5.7,,,,,,,,,,,9.6,7.3,26.6
2025-02-01,,,,,,,131.94,,0.5,5.3,,,,,,,,,,,8.8,6.7,25.0
2025-03-01,,,,,,,131.19,,0.2,4.9,,,,,,,,,,,8.1,6.4,20.8
2025-04-01,119066.0,,,,,,131.5,,0.4,4.8,,,,,,,,,,,8.5,6.7,21.9
2025-05-01,,,,,,,131.96,,0.0,4.7,,,,,,,,,,,9.1,6.9,25.0
2025-06-01,,,,,,,132.71,,-0.1,4.6,,,,,,,,,,,8.3,6.2,23.9
2025-07-01,,,,,,,133.12,,-0.8,4.8,,,,,,,,,,,8.9,6.7,24.6
2025-08-01,,,,,,,132.69,,0.2,4.7,,,,,,,,,,,8.8,6.6,24.4
2025-09-01,,,,,,,132.9,,0.4,4.7,,,,,,,,,,,8.7,6.7,23.6
